SERIE	pre_stj1	count	cost
11521	2	134917	28736393
1141134	1	3846563	604672883
114111	2	20731	924681
1111N	2	37517	3701123
1111E	1	248516	40859029
111119B	2	607	64430
115224	1	133437	22249451
1141134	2	902903	148141085
1111E	2	2619	486144
111192	1	112466	11148276
115224	2	144878	24299223
111192	2	261	22055
1111414	1	950120	106967742
111111	1	5412729	639078948
114144	2	2325	633577
1111414	2	219456	19908680
111136	1	7095830	1160536370
111111	2	1027372	76330315
114545	1	115030	23962765
114312	1	4087615	470100244
111144	1	330224	32072169
111136	2	499823	55297876
114545	2	77139	9345836
114329	2	490	42661
114312	2	605886	69779358
111152	1	47063	18942198
111144	2	28030	2914792
1111X	1	288	28861
111152	2	6063	2334056
1111O	1	160	38415
1111X	2	8	-300
1111F	1	7479	789411
1111O	2	2	525
11A	1	22686	4130723
1141135	2	260	25756
1111F	2	45	3975
111265	1	8	105
11A	2	10524	2255036
115225	2	16271	2210525
111112	1	21911926	2147483647
111265	2	8	12
118	2	6930	821611
11122	1	945839	172176259
1111351	1	2412156	532268025
111112	2	2611840	135780802
114313	1	23908	1415485
11122	2	298877	42192362
111145	1	3333123	471885137
1111351	2	90956	10100511
114313	2	3295	211868
111153	1	92317	35982427
111145	2	228224	23945612
11435	2	2	0
11731	2	6350	887101
11451	1	7292903	977887548
111153	2	8895	3410582
1165	1	1776	330165
1165	2	265603	31426222
11523	2	1076	96724
11451	2	2465229	350321385
1111G	1	80712	17815696
11611	1	1387484	180602619
115226	1	620085	83614644
1111G	2	3369	655063
111266	1	1	220
11B	2	1148	106424
11611	2	370365	42496695
115226	2	413891	75302856
111113	1	3097198	340881215
11123	1	461670	165028205
1111352	1	132589	37571446
111121	1	1869346	243652960
111113	2	230934	18987977
114314	1	6831549	604701876
11123	2	179036	65262451
1111352	2	1667	412761
111121	2	44095	3701404
114314	2	1526240	157595800
1111Z	1	361675	34915752
11524	1	1186708	0
11452	1	2414967	159950882
114114	1	1325130	210268228
1111Z	2	26209	1554805
1111Q	1	188611	31798432
1166	2	50121	7006762
11524	2	436826	0
11452	2	775279	48429466
114114	2	356576	62836734
1111Q	2	2638	627363
11C	1	66590	0
11612	1	747214	78965113
115227	1	33964	9094535
1111H	2	101048	9623148
11C	2	21596	0
11612	2	169469	11967519
115227	2	64338	5729773
11116	1	199447	23532018
111114	1	892231	104216205
111267	2	1	946
11412	1	10143478	684953125
11124	1	566797	199784034
1111353	1	520007	132868037
111122	1	87994	8294311
111114	2	236859	24163254
11116	2	2505	174155
114315	1	108143	14586029
11412	2	3136471	247494238
11124	2	97100	35324858
1111353	2	16579	2886914
111122	2	8614	958647
114315	2	815569	123089674
1111Y1	1	695	38482
11453	1	2166885	262850108
114115	1	838605	100250685
1111R	1	96398	9927038
1167	2	3616	1184109
11453	2	564467	77738518
114115	2	187751	20315117
1141121	1	11637169	887512762
1111R	2	1219	189071
1111I	1	266779	14589100
1141121	2	3096433	300885134
1111I	2	79378	1684204
11D	1	20033	0
11621	1	469668	43821791
11117	1	528949	84102852
111115	1	182718	19126289
11D	2	4925	0
111268	2	1	0
11621	2	146496	9289864
11117	2	59726	10937734
1111354	1	3479354	592172423
111123	1	16855	2084036
111115	2	42679	3465278
114316	1	1882358	163205224
11421	1	5746994	790057016
1111354	2	238893	30387343
111131	1	981237	106522995
111123	2	38	3126
114324	1	302002	20597527
114316	2	236315	17180951
11421	2	1039049	136987786
111211	1	96474	27039209
111131	2	37681	2218792
1111Y2	1	24	2549
1151	1	268452	65005509
114324	2	109590	9322000
114116	1	195530	16829622
111211	2	19826	4400865
1111S	1	832	122241
1151	2	60494	15964220
114116	2	36288	1787275
1141122	1	1702830	254901274
1111J	1	34508	4095375
1141122	2	468667	67933692
1111A	1	369219	52620182
1111J	2	17	2723
11622	1	157183	16633189
1111A	2	44683	5825632
111116	1	280268	44092904
1192	2	1258	90412
11622	2	42667	2379655
111124	1	7319	249078
111116	2	28454	3260725
111132	1	7375	592146
111124	2	49	1570
114541	1	309192	53020830
1144	1	4738	708124
111212	1	543414	90619536
111132	2	33354	4942755
114541	2	211287	30306254
1144	2	10842	2677830
114117	1	227936	21163286
111212	2	140417	19761335
1111T	1	609756	773
1111Y3	2	76	13021
114117	2	65438	5270812
1141123	1	262802	15928717
1111T	2	24035	0
1111K	1	11767	3657869
114261	2	1329	88610
1141131	1	2916608	443447621
1141123	2	62983	2131221
111181	1	161405	3383815
1111K	2	34	16501
11F	2	635002	69118565
115221	1	1012435	202928626
1141131	2	809120	129171907
111181	2	5757	101390
1193	2	5592	196034
11911	2	21875	2625479
115221	2	837366	144722090
114221	1	579910	20837154
11415	1	7836541	0
1111411	1	13563	845305
111125	1	83840	7195867
111117	2	2559	135465
114141	2	103	30693
111261	2	1	127
11423	1	796053	22723764
114221	2	123632	4503179
11415	2	1640027	0
1111411	2	2332	289911
111133	1	331078	94692316
111125	2	7788	579891
11631	2	147	50505
