count	pre	exe
53171	03	03
7	03	21
15355	03	24
3585	03	26
36	03	27
232	03	28
67	03	29
12781	03	30
21449	03	99
54975	05	05
8	05	21
16569	05	24
2026	05	26
163	05	27
138	05	28
56	05	29
10791	05	30
27276	05	99
34663	08	08
6	08	21
14535	08	24
2569	08	26
10	08	27
93	08	28
14	08	29
12090	08	30
20465	08	99
214462	1	1
39838	11	11
11	11	21
8895	11	24
5810	11	26
4	11	27
4907	11	28
1058	11	29
6902	11	30
26585	11	99
1202	1	21
35886	12	12
4	12	21
4511	12	24
7545	12	26
26	12	27
2893	12	28
1259	12	29
6126	12	30
140726	1	24
97437	1	26
10239	1	27
18010	1	28
7594	1	29
24811	12	99
58649	1	30
26810	13	13
4	13	21
10160	13	24
7284	13	26
9	13	27
167	13	28
69	13	29
7610	13	30
27996	13	99
34498	14	14
16	14	21
19010	14	24
18363	14	26
134	14	27
108	14	28
93	14	29
9096	14	30
24984	14	99
66764	15	15
6	15	21
8582	15	24
718	15	26
21	15	27
252	15	28
12197	15	29
3705	15	30
68143	15	99
16	1	64
47476	17	17
7	17	21
11912	17	24
3149	17	26
30	17	27
1709	17	28
247	17	29
5718	17	30
27065	17	99
30571	18	18
5	18	21
3083	18	24
1653	18	26
1	18	27
496	18	28
68	18	29
2542	18	30
9213	18	99
98003	19	19
3	19	21
2002	19	24
1680	19	26
1365	19	28
2358	19	30
201591	1	99
17703	19	99
19214	21	21
4283	21	24
500	21	26
7978	21	30
12701	21	99
51645	2	2
15	2	21
16586	2	24
2783	2	26
22	2	27
156	2	28
40	2	29
17252	2	30
11646	24	24
8820	24	99
17	26	4
4310	26	99
11322	2	99
2478	31	24
9783	31	26
27	31	27
338	31	28
372	31	29
2014	31	30
16789	31	31
10881	31	99
4	32	21
9468	32	24
9759	32	26
7	32	27
3643	32	28
358	32	29
4839	32	30
22043	32	32
16003	32	99
1279	34	24
1109	34	26
19	34	27
288	34	28
8	34	29
1144	34	30
2472	34	34
2205	34	99
27	35	21
6583	35	24
1291	35	26
124	35	27
53	35	28
5109	35	30
8759	35	35
10058	35	99
31	36	24
1576	36	26
1992	36	28
38	36	30
12389	36	36
2443	36	99
192	37	24
104	37	26
3	37	27
40	37	28
4	37	29
900	37	30
22877	37	37
927	37	99
294	38	24
138	38	26
2	38	27
45	38	28
10	38	29
1210	38	30
7671	38	38
1521	38	99
97	4	21
28	42	21
18809	42	24
1802	42	26
1540	42	27
213	42	28
34	42	29
11448	42	30
48900	4	24
21918	42	42
34274	4	26
117	4	27
540	4	28
133	4	29
17283	42	99
22154	4	30
67752	4	4
49549	4	99
13941	6	24
3817	6	26
21	6	27
274	6	28
61	6	29
9737	6	30
96533	6	6
23725	6	99
663	7	21
24194	7	24
11536	7	26
15	7	27
193	7	28
40	7	29
30527	7	30
71079	7	7
34557	7	99
11	80	24
6	80	26
32	80	30
175	80	80
26	80	99
6	9	21
14448	9	24
4259	9	26
168	9	27
283	9	28
11	9	29
8421	9	30
17112	9	9
4781	99	03
6818	99	05
2778	99	08
30155	99	1
4061	99	11
4858	99	12
2703	99	13
3983	99	14
7661	99	15
3920	99	17
2640	99	18
30310	99	19
1705	99	2
7018	99	21
115198	99	24
63473	99	26
2720	99	27
11065	99	28
4798	99	29
49565	99	30
2265	99	31
1386	99	32
462	99	34
2725	99	35
1356	99	36
221	99	37
156	99	38
4102	99	4
2750	99	42
7122	99	6
3	99	60
1	99	64
9226	99	7
3	99	80
16929	9	99
2382	99	9
242588	99	99
